number,code,Type
1,"def dfs_recursive_adj_list(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in graph[start]:
        if neighbor not in visited:
            dfs_recursive_adj_list(graph, neighbor, visited)",DFS
2,"def dfs_iterative_adj_list(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            stack.extend(neighbor for neighbor in graph[vertex] if neighbor not in visited)",DFS
3,"def dfs_generator_adj_list(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            yield vertex
            yield from dfs_generator_adj_list(graph, neighbor for neighbor in graph[vertex] if neighbor not in visited)",DFS
4,"def dfs_recursive_adj_matrix(graph, start, visited=None):
    if visited is None:
        visited = [False] * len(graph)
    visited[start] = True
    for neighbor in range(len(graph)):
        if graph[start][neighbor] == 1 and not visited[neighbor]:
            dfs_recursive_adj_matrix(graph, neighbor, visited)",DFS
5,"def dfs_iterative_adj_matrix(graph, start):
    visited = [False] * len(graph)
    stack = [start]
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            for neighbor in range(len(graph)):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)",DFS
6,"from functools import reduce

def dfs_functional_adj_list(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    neighbors = graph[start]
    unvisited_neighbors = [n for n in neighbors if n not in visited]
    return reduce(lambda acc, n: dfs_functional_adj_list(graph, n, acc), unvisited_neighbors, visited)",DFS
7,"def dfs_recursive_adj_list_edgecase(graph, start, visited=None):
    if not graph or start not in graph: return
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in graph[start]:
        if neighbor not in visited and neighbor in graph:
            dfs_recursive_adj_list_edgecase(graph, neighbor, visited)",DFS
8,"def dfs_iterative_adj_matrix_edgecase(graph, start):
    if not graph or start < 0 or start >= len(graph): return
    visited = [False] * len(graph)
    stack = [start]
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            for neighbor in range(len(graph)):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)",DFS
9,"def dfs_generator_adj_matrix(graph, start):
    visited = [False] * len(graph)
    stack = [start]
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            yield vertex
            for neighbor in range(len(graph)):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)",DFS
10,"def dfs_recursive_adj_list_reverse(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in reversed(graph[start]):
        if neighbor not in visited:
            dfs_recursive_adj_list_reverse(graph, neighbor, visited)",DFS
11,"def dfs_recursive_adj_list(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in graph[start]:
        if neighbor not in visited:
            dfs_recursive_adj_list(graph, neighbor, visited)",DFS
12,"def dfs_iterative_adj_list(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            stack.extend(neighbor for neighbor in graph[vertex] if neighbor not in visited)",DFS
13,"def dfs_generator_adj_list(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            yield vertex
            stack.extend(neighbor for neighbor in graph[vertex] if neighbor not in visited)",DFS
14,"def dfs_functional_adj_list(graph, start, visited=None):
    if visited is None:
        visited = set()
    if start in visited:
        return
    visited.add(start)
    for neighbor in graph[start]:
        dfs_functional_adj_list(graph, neighbor, visited)",DFS
15,"def dfs_recursive_adj_matrix(graph, start, visited=None):
    if visited is None:
        visited = [False] * len(graph)
    visited[start] = True
    for neighbor in range(len(graph)):
        if graph[start][neighbor] == 1 and not visited[neighbor]:
            dfs_recursive_adj_matrix(graph, neighbor, visited)",DFS
16,"def dfs_iterative_adj_matrix(graph, start):
    num_vertices = len(graph)
    visited = [False] * num_vertices
    stack = [start]
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            for neighbor in range(num_vertices):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)",DFS
17,"def dfs_adj_list_edge_case(graph, start):
    if not graph or start not in graph:
        return []
    visited = set()
    stack = [start]
    result = []
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            result.append(vertex)
            if vertex in graph:
                stack.extend(neighbor for neighbor in graph[vertex] if neighbor not in visited)
    return result",DFS
18,"def dfs_adj_matrix_edge_case(graph, start):
    if not graph or start < 0 or start >= len(graph):
        return []
    num_vertices = len(graph)
    visited = [False] * num_vertices
    stack = [start]
    result = []
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            result.append(vertex)
            for neighbor in range(num_vertices):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)
    return result",DFS
19,"def dfs_recursive_adj_list_order(graph, start, order=None):
    if order is None:
        order = []
    if start in order:
        return
    order.append(start)
    if start in graph:
      for neighbor in graph[start]:
          dfs_recursive_adj_list_order(graph, neighbor, order)
    return order",DFS
20,"def dfs_iterative_adj_matrix_order(graph, start):
    num_vertices = len(graph)
    visited = [False] * num_vertices
    stack = [start]
    order = []
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            order.append(vertex)
            for neighbor in range(num_vertices):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)
    return order",DFS
21,"def dfs_recursive_adj_list(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in graph[start]:
        if neighbor not in visited:
            dfs_recursive_adj_list(graph, neighbor, visited)",DFS
22,"def dfs_iterative_adj_list(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            stack.extend(neighbor for neighbor in graph[vertex] if neighbor not in visited)",DFS
23,"def dfs_generator_adj_list(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            visited.add(vertex)
            yield vertex
            stack.extend(neighbor for neighbor in graph[vertex] if neighbor not in visited)",DFS
24,"def dfs_functional_adj_list(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    neighbors = [n for n in graph[start] if n not in visited]
    return [start] + sum([dfs_functional_adj_list(graph, n, visited) for n in neighbors], [])",DFS
25,"def dfs_recursive_adj_matrix(graph, start, visited=None):
    if visited is None:
        visited = [False] * len(graph)
    visited[start] = True
    for neighbor in range(len(graph)):
        if graph[start][neighbor] == 1 and not visited[neighbor]:
            dfs_recursive_adj_matrix(graph, neighbor, visited)",DFS
26,"def dfs_iterative_adj_matrix(graph, start):
    visited = [False] * len(graph)
    stack = [start]
    while stack:
        vertex = stack.pop()
        if not visited[vertex]:
            visited[vertex] = True
            for neighbor in range(len(graph)):
                if graph[vertex][neighbor] == 1 and not visited[neighbor]:
                    stack.append(neighbor)",DFS
27,"def dfs_recursive_adj_list_edge_case(graph, start, visited=None):
    if not graph or start not in graph:
        return
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in graph[start]:
        if neighbor not in visited:
            dfs_recursive_adj_list_edge_case(graph, neighbor, visited)",DFS
